,location,district,rooms,size,level,max_levels,price
0,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,57,4,4,52000
1,"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Яккасарайский,2,52,4,5,56000
2,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42,4,4,37000
3,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,1,4,49500
4,"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,70,3,5,55000
5,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,28,1,4,25500
6,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30,2,4,21200
7,"город Ташкент, Яккасарайский район, Саламатина",Яккасарайский,2,32,5,5,20000
8,"город Ташкент, Учтепинский район, Чиланзар-21",Учтепинский,2,51,3,4,26200
9,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,1,30,1,4,22200
10,"город Ташкент, Учтепинский район, Чиланзар-14",Учтепинский,2,30,2,5,24200
11,"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,67,2,5,30200
12,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,1,30,2,4,21200
13,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30,2,4,21200
14,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,30,2,4,21200
15,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,35,1,5,22500
16,"город Ташкент, Чиланзарский район, Г9а",Чиланзарский,1,43,4,4,22500
17,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,51,2,4,21200
18,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,3,65,1,4,32500
19,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,51,2,4,22200
20,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,51,2,4,24200
21,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90,5,5,45000
22,"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Чиланзарский,4,80,3,4,56000
23,"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,70,5,5,47000
24,"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,69,1,4,49900
25,"город Ташкент, Мирабадский район, Афросиёб",Мирабадский,3,80,2,4,76000
26,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,96,3,4,65000
27,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,76,4,4,47500
28,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,45,4,5,30000
29,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,27,3,4,32000
30,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,65,3,9,44000
31,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,64,3,4,56500
32,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,42,5,9,35000
33,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,26,2,4,23500
34,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,76,5,5,60500
35,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,80,2,4,68000
36,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,72,5,5,41500
37,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,3,12,55000
38,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,4,4,44000
39,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,80,3,4,52500
40,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72,6,9,43000
41,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,65,1,4,80000
42,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,63,1,5,42000
43,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000
44,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70,3,4,47000
45,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,102,7,12,88784
46,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,78,2,4,65000
47,"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100,1,4,97000
48,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,34,1,4,28500
49,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,42,2,4,34500
50,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80,4,5,51000
51,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,90,1,12,51000
52,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45,2,4,48000
53,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70,5,5,40000
54,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,96,7,9,67000
55,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80,4,5,68000
56,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63,1,4,40500
57,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,56,4,5,54000
58,"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,52,1,4,36000
59,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,98,2,4,68000
60,"город Ташкент, Чиланзарский район, Бешёгоч",Чиланзарский,3,96,9,9,63000
61,"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,4,93,4,4,63500
62,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,2,60,9,9,49500
63,"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-2",Чиланзарский,5,82,4,4,70000
64,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,5,120,9,9,52000
65,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,110,3,3,91000
66,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,4,95,2,4,83000
67,"город Ташкент, Учтепинский район, 4-й проезд Курувчи",Учтепинский,2,56,1,4,40500
68,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68,3,4,48000
69,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,57,3,4,42000
70,"город Ташкент, Яшнободский район, Жаркургон",Яшнободский,1,46,11,11,19765
71,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45,4,4,34500
72,"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,2,40,1,9,40000
73,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95,5,5,50000
74,"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,53,1,9,68000
75,"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,72,4,9,41500
76,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,65,4,5,41500
77,"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Юнусабадский,4,82,1,4,86000
78,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,3,9,25500
79,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,4,4,31500
80,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,1,4,26500
81,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,1,20,3,9,14500
82,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,45,4,4,45000
83,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,46,2,5,30000
84,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50,2,4,34500
85,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,2,4,27000
86,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,80,6,9,59500
87,"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,3,72,3,9,48000
88,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,78,5,5,47299
89,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,46,4,5,37000
90,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60,2,4,38000
91,"город Ташкент, Олмазорский район, 15-й проезд Сагбан",Олмазорский,2,58,5,9,29500
92,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,70,2,7,56000
93,"город Ташкент, Яккасарайский район, 1-й проезд Мукими",Яккасарайский,2,68,6,9,45000
94,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100,3,5,61500
95,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68,5,5,46500
96,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70,4,12,51000
97,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90,5,9,58400
98,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,60,5,5,47000
99,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,80,5,5,52500
100,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,74,3,5,50000
101,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,2,48,2,5,41500
102,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,4,94,9,9,45000
103,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,65,4,9,47500
104,"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,85,3,4,52500
105,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,1,42,5,5,26000
106,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,110,3,4,105000
107,"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,3,70,4,4,42000
108,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,68,2,5,53500
109,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48,5,9,23000
110,"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,20,3,3,12500
111,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110,4,7,107000
112,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46,3,4,35000
113,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,125,5,5,70000
114,"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,72,18,19,55000
115,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,64.67,7,9,39414
116,"город Ташкент, Юнусабадский район, Чинабад",Юнусабадский,2,70,4,9,60000
117,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,50,7,9,37000
118,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,2,51,2,4,49000
119,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,1,22,1,2,18000
120,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,2,54,1,4,42500
121,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,30,3,5,34500
122,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,42,5,9,37000
123,"город Ташкент, Яккасарайский район, Тафаккур",Яккасарайский,3,70,2,4,70000
124,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,3,68,2,4,45800
125,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,30,4,4,24000
126,"город Ташкент, Учтепинский район, Чиланзар 14-й квартал",Учтепинский,1,52,1,4,58000
127,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,72,4,4,55500
128,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,4,76,2,4,68000
129,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,48,4,4,31000
130,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,66,3,9,47000
131,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,3,60,3,5,47000
132,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,37,1,4,41000
133,"город Ташкент, Мирзо-Улугбекский район, Муминова",Мирзо-Улугбекский,1,40,3,4,24000
134,"город Ташкент, Юнусабадский район, Юнусабад 11-й квартал",Юнусабадский,2,61,1,4,55000
135,"город Ташкент, Чиланзарский район, Чиланзар 4-й квартал",Чиланзарский,1,32,2,4,28500
136,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,65,4,4,42000
137,"город Ташкент, Учтепинский район, Чупон-Ота",Учтепинский,3,66,2,5,67000
138,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,3,70,4,4,46500
139,"город Ташкент, Чиланзарский район, Катта козиробод",Чиланзарский,3,66,4,4,50500
140,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65,1,4,40000
141,"город Ташкент, Яшнободский район, 1-й проезд Иззат",Яшнободский,1,37,5,8,13071
142,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,69.65,4,9,45188
143,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,88,4,5,53000
144,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,38,2,5,25600
145,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,2,61,6,9,52000
146,"город Ташкент, Мирзо-Улугбекский район, Навнихол",Мирзо-Улугбекский,2,45,3,7,44000
147,"город Ташкент, Сергелийский район, Сергели-VII",Сергелийский,3,69,2,9,40000
148,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,55.13,5,9,35226
149,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,67,4,4,54000
150,"город Ташкент, Шайхантахурский район, 1-й проезд Генерала Узакова",Шайхантахурский,1,38,5,5,22500
151,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,67,2,4,36500
152,"город Ташкент, Яккасарайский район, пр-т Бабура",Яккасарайский,2,54,4,9,40000
153,"город Ташкент, Чиланзарский район, Чиланзар квартал 20А",Чиланзарский,2,58,1,9,35000
154,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,4,100,5,8,142000
155,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,4,90,4,5,52000
156,"город Ташкент, Олмазорский район, ул  ХУРРИЯТ 75",Олмазорский,3,91,3,3,85000
157,"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,4,111,7,8,110000
158,"город Ташкент, Сергелийский район, Сергели 6 А дом 9 кв 53",Сергелийский,2,54,6,7,36000
159,"город Ташкент, Яшнободский район, жилой комплекс У.М. Шахидов 58-й городок",Яшнободский,3,69,5,5,52000
160,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,5,107,5,5,50000
161,"город Ташкент, Мирзо-Улугбекский район, Массив А. Югнакий",Мирзо-Улугбекский,3,80,2,5,55000
162,"город Ташкент, Юнусабадский район, Юнусабад 4 квартал",Юнусабадский,2,63,5,9,42000
163,"город Ташкент, Мирабадский район, Жемчуг",Мирабадский,3,74,5,16,69000
164,"город Ташкент, Яшнободский район, 40 лет тузел-3 Франция",Яшнободский,2,58,5,5,28900
165,"город Ташкент, Мирзо-Улугбекский район, Паркентский",Мирзо-Улугбекский,2,62,9,9,34000
166,"город Ташкент, Мирзо-Улугбекский район, жилой комплекс Goldhill",Мирзо-Улугбекский,3,107,2,8,85000
167,"город Ташкент, Олмазорский район, ТашПИ",Олмазорский,1,40.41,2,4,25000
168,"город Ташкент, Чиланзарский район, Мирзо Улуғбек метро",Чиланзарский,2,54,2,4,39000
169,"город Ташкент, Мирзо-Улугбекский район, ц-1 Буюк ипак йули (Ц-1) ",Мирзо-Улугбекский,1,40,1,4,60000
170,"город Ташкент, Мирзо-Улугбекский район, Дурмон йули",Мирзо-Улугбекский,2,50,1,5,36500
171,"город Ташкент, Яшнободский район, Мавлоно Риёзи",Яшнободский,3,75,5,9,42000
172,"город Ташкент, Мирзо-Улугбекский район, Паркент",Мирзо-Улугбекский,3,84,7,8,85000
173,"город Ташкент, Мирзо-Улугбекский район, Ирригатор",Мирзо-Улугбекский,3,117,2,5,125000
174,"город Ташкент, Мирзо-Улугбекский район, Буз-2 (Буз) ",Мирзо-Улугбекский,3,70,5,5,37000
175,"город Ташкент, Мирзо-Улугбекский район, проспект Мустакиллик",Мирзо-Улугбекский,1,47,2,9,42000
176,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,56,2,5,36000
177,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,42,3,9,28000
178,"город Ташкент, Чиланзарский район",Чиланзарский,2,60,5,9,34000
179,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,1,32,2,5,28500
180,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,5,28500
181,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,34500
182,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54,1,4,34500
183,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,1,42,1,5,25500
184,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,60,2,9,43500
185,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,2,72,7,9,63000
186,"город Ташкент, Яшнободский район, Городок Авиастроителей-4",Яшнободский,3,80,1,4,39999
187,"город Ташкент, Чиланзарский район, Кошчинар",Чиланзарский,1,33,2,4,24500
188,"город Ташкент, Юнусабадский район, Улица Янги Юнусобод",Юнусабадский,2,61,3,5,41000
189,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак Йули",Мирзо-Улугбекский,4,187,2,5,210000
190,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63,5,5,36000
191,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,60,5,5,34000
192,"город Ташкент, Чиланзарский район, Торговый центр",Чиланзарский,1,29,2,4,23000
193,"город Ташкент, Мирзо-Улугбекский район, Карасу 2-й квартал",Мирзо-Улугбекский,2,63,5,5,36000
194,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,48,4,5,28500
195,"город Ташкент, Мирзо-Улугбекский район, Массив ТТЗ-4",Мирзо-Улугбекский,1,11,3,9,7500
196,"город Ташкент, Чиланзарский район, Корзинка",Чиланзарский,2,45,4,4,47000
197,"город Ташкент, Олмазорский район, обводная  Нурафшон",Олмазорский,4,122,5,5,95000
198,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,1,42,2,4,44000
199,"город Ташкент, Мирзо-Улугбекский район, Шастри",Мирзо-Улугбекский,2,50,1,4,45000
200,"город Ташкент, Мирзо-Улугбекский район, Феруза-1",Мирзо-Улугбекский,5,100,4,4,48000
201,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,2,60,4,4,32000
202,"город Ташкент, Яккасарайский район, Баходыра",Яккасарайский,3,119,3,9,Договорная
203,"город Ташкент, Яккасарайский район, Шота Руставели",Яккасарайский,2,50,2,4,47000
204,"город Ташкент, Мирзо-Улугбекский район, Дархан",Мирзо-Улугбекский,3,78,5,9,70500
205,"город Ташкент, Яккасарайский район, Яккасарой Тойхона 4/5/6 Новастройка Евро 164м2",Яккасарайский,4,164,5,6,170000
206,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,2,60,3,5,30500
207,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42,2,4,26000
208,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,3,70,4,4,37500
209,"город Ташкент, Чиланзарский район, Метро Мирзо Улугбек",Чиланзарский,1,35,1,5,26500
210,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,47,2,4,32000
211,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36,2,5,26500
212,"город Ташкент, Чиланзарский район, Чиланзар-10",Чиланзарский,2,50,2,5,34500
213,"город Ташкент, Чиланзарский район, Чиланзар-6",Чиланзарский,2,52,2,4,36500
214,"город Ташкент, Яшнободский район, Оханграбо",Яшнободский,2,46,2,4,24500
215,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,3,92,3,9,42500
216,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,3,70,1,4,46000
217,"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,3,70,2,4,38500
218,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,60,7,8,36000
219,"город Ташкент, Мирзо-Улугбекский район, Буз 2",Мирзо-Улугбекский,2,55,3,5,35000
220,"город Ташкент, Мирзо-Улугбекский район, Паркентская (Генерала Петрова) ",Мирзо-Улугбекский,2,63,4,9,55500
221,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,2,89,4,12,81772
222,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,1,55,1,12,50533
223,"город Ташкент, Мирзо-Улугбекский район, Ул.Кора Ниязова",Мирзо-Улугбекский,3,100,2,6,119000
224,"город Ташкент, Мирзо-Улугбекский район, Ахмад Югнаки",Мирзо-Улугбекский,4,208,2,3,93000
225,"город Ташкент, Чиланзарский район, Учтепинский район массив Чиланзар 11-й квартал",Чиланзарский,1,35,1,4,23800
226,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,2,44,3,4,32900
227,"город Ташкент, Янгихаётский район, Сергели 9а",Янгихаётский,2,61,3,7,36000
228,"город Ташкент, Яшнободский район, Массив Риёзи",Яшнободский,4,100,2,9,65000
229,"город Ташкент, Чиланзарский район, Чиланзар 8 квартал",Чиланзарский,1,35,1,4,29800
230,"город Ташкент, Мирзо-Улугбекский район, Газалкент",Мирзо-Улугбекский,4,86,3,5,63000
231,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,3,100,1,5,80000
232,"город Ташкент, Олмазорский район, 1-й проезд Чилтугон",Олмазорский,5,110,5,5,63500
233,"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Мирабадский,3,75,6,9,110000
234,"город Ташкент, Олмазорский район, ц-17, ц-18 Себзар (ц-17, ц-18) ",Олмазорский,3,70,1,5,62000
235,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,70,4,5,36999
236,"город Ташкент, Яккасарайский район, 1-й проезд Абдуллы Каххара",Яккасарайский,3,150,3,6,170000
237,"город Ташкент, Сергелийский район, 6А",Сергелийский,2,56.10,7,7,37000
238,"город Ташкент, Юнусабадский район, Юнусабад 16-й квартал",Юнусабадский,4,83,3,5,54000
239,"город Ташкент, Учтепинский район, Зангиота",Учтепинский,2,49,4,4,23000
240,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46,2,4,38500
241,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,46,4,4,36200
242,"город Ташкент, Чиланзарский район, Чиланзар квартал Г9",Чиланзарский,3,68,4,4,45000
243,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65,1,5,45000
244,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76,4,4,43000
245,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,1,42,2,5,26000
246,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,2,55,1,4,67000
247,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,4,76,5,5,45500
248,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,49,2,6,47000
249,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,4,80,2,4,70000
250,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,5,142,5,5,120000
251,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,3,60,3,4,44000
252,"город Ташкент, Мирзо-Улугбекский район, Аккурган",Мирзо-Улугбекский,3,72,4,5,47000
253,"город Ташкент, Мирабадский район, 7-й проезд Мироншаха",Мирабадский,4,115,6,9,84000
254,"город Ташкент, Яшнободский район, 1-й переулок Бойкургон",Яшнободский,4,100,2,3,77000
255,"город Ташкент, Мирзо-Улугбекский район, Карасу 1-й квартал",Мирзо-Улугбекский,2,63,5,5,35000
256,"город Ташкент, Мирзо-Улугбекский район, Сайрам",Мирзо-Улугбекский,3,66,3,5,56000
